Nom de l'établissement	Adresse	Site Web	Status
Spa Léonard de Vinci	4 Rue Léonard de Vinci 91090 Lisses France	https://institut.ldv91.com/	Traité
Belle de Maïa Maison de Beauté	31 Rue du Bœuf 69005 Lyon France	http://www.belledemaia.com/	Traité
Mona Spa Lyon-Chassieu	6 Av. du Progrès 69680 Chassieu France	https://lyon-chassieu.mona-spa.fr/	Traité
Mona Spa Admiral - Lyon Ouest	2 All. du Levant 69890 La Tour-de-Salvagny France	https://lyon-admiral.mona-spa.fr/	Traité
OHANA Spa	10 Rue de l'Île Saint-Pierre 77590 Bois-le-Roi France	https://www.ohana-spa.fr/	Traité
Ki Spa by Eden des sens - soin visage, Massage et Spa 77 Marne-la-Vallee,	4 Av. Johannes Gutenberg 77700 Serris France	https://edendessens.com/institut-beaute-et-spa-marne-la-vallee/	Traité
Paxton SPA - Cinq Mondes	1 Av. Joseph Paxton 77164 Ferrières-en-Brie France	https://www.planity.com/paxton-resort-spa-77164-ferrieres-en-brie	Traité
Naturellement Luxe - Spa Privatif Paris	15 Rue du Croissant 75002 Paris France	https://naturellementluxe.com/fr/spa-privatif-prive/	Traité
Disneyland Hotel Spa by Clarins	Disneyland Hotel Spa by Clarins Rue de la Marnière 77700 Chessy France	https://www.deepnature.fr/dn_fr/disneyland-hotel-spa-by-clarins	Traité
[HEAD] SPA LA SUBLIME BARBIZON 77	LA SUITE 68 Av. du Gén de Gaulle 77630 Barbizon France	https://www.spalasublime.com/	Traité
Glow'in Serenity Head Spa 77 Val d'europe	Esp. du Toque-Bois 77700 Bailly-Romainvilliers France	https://glowinserenity.fr/	Traité
SANSAE SPA&Institut	93 Rue Grande 77300 Fontainebleau France	http://sansae-spa.com/	Traité
De l'Institut Au Spa	2Bis Rte Forestière 33750 Beychac-et-Caillau France	http://www.delinstitutauspa.fr/	Traité
SPA	Chem. de Courmateau 33290 Le Pian-Médoc France	https://spa.accor.com/fr/hotels/6660?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps	Traité
Centre De Bien-Être - Espace Des Sources Chaudes	Domaine de Saint-Michel 81230 81230 Lacaune France	https://www.espacedessourceschaudes-lacaune.com/	Traité
